               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.012209,           0.0070025,          0.00036641,             0.99012,             0.98504,             0.98985,             0.84619,            0.014556,           0.0063846,          0.00026882,            0.001816,            0.001816,            0.001816
                 126,            0.011925,           0.0071056,          0.00032707,             0.99089,             0.98646,             0.99002,             0.85092,            0.014439,           0.0063581,          0.00026873,             0.00175,             0.00175,             0.00175
                 127,            0.012235,           0.0069539,          0.00032171,             0.98962,             0.98531,             0.99042,             0.84916,            0.014706,           0.0061682,          0.00025594,            0.001684,            0.001684,            0.001684
                 128,             0.01189,           0.0067872,          0.00028738,             0.99133,             0.98527,             0.98969,             0.84805,            0.014686,            0.006392,          0.00026262,            0.001618,            0.001618,            0.001618
                 129,            0.011992,           0.0067597,          0.00032081,             0.99781,             0.98427,             0.98781,             0.84602,            0.014567,            0.006385,           0.0002606,            0.001552,            0.001552,            0.001552
                 130,            0.012015,           0.0068621,           0.0003279,             0.98815,             0.98718,             0.98893,             0.85263,            0.014618,           0.0064806,          0.00025874,            0.001486,            0.001486,            0.001486
                 131,            0.011915,           0.0070462,          0.00027451,             0.99691,             0.98278,             0.99079,             0.85103,            0.014573,           0.0062263,          0.00025097,             0.00142,             0.00142,             0.00142
                 132,            0.011801,           0.0066377,          0.00030822,             0.99136,             0.98548,              0.9908,             0.84774,            0.014544,           0.0061236,          0.00025142,            0.001354,            0.001354,            0.001354
                 133,             0.01175,            0.006789,          0.00028764,              0.9911,             0.98693,             0.99011,             0.84861,            0.014605,           0.0063822,          0.00027182,            0.001288,            0.001288,            0.001288
                 134,            0.011744,           0.0068936,          0.00031479,             0.98806,             0.98659,             0.98955,             0.85219,            0.014632,           0.0064404,          0.00026658,            0.001222,            0.001222,            0.001222
                 135,            0.011901,           0.0068594,          0.00032053,             0.98925,             0.98641,             0.99043,             0.85069,            0.014449,           0.0063502,          0.00025433,            0.001156,            0.001156,            0.001156
                 136,            0.011672,           0.0066419,          0.00028091,             0.98965,             0.98642,             0.99025,             0.85788,            0.014426,            0.006269,          0.00026677,             0.00109,             0.00109,             0.00109
                 137,             0.01181,           0.0067251,          0.00031893,             0.99141,             0.98524,             0.98964,             0.85359,            0.014598,           0.0063111,          0.00026203,            0.001024,            0.001024,            0.001024
                 138,            0.011677,           0.0067653,          0.00027144,             0.98972,             0.98552,             0.98972,              0.8497,            0.014558,           0.0063082,          0.00025479,            0.000958,            0.000958,            0.000958
                 139,             0.01164,           0.0068185,          0.00028715,             0.98933,             0.98021,             0.98946,              0.8508,            0.014632,           0.0064739,          0.00027147,            0.000892,            0.000892,            0.000892
                 140,            0.011437,           0.0064142,          0.00027893,             0.99035,             0.97781,             0.98914,             0.85315,            0.014587,            0.006517,          0.00027478,            0.000826,            0.000826,            0.000826
                 141,            0.011575,           0.0067121,          0.00030138,             0.99047,             0.98655,             0.98985,              0.8524,            0.014561,           0.0064655,          0.00026351,             0.00076,             0.00076,             0.00076
                 142,            0.011581,           0.0066536,          0.00030357,             0.98933,              0.9867,             0.98942,             0.85308,            0.014435,           0.0063604,          0.00026233,            0.000694,            0.000694,            0.000694
                 143,            0.011425,           0.0068134,          0.00028176,              0.9906,             0.98639,             0.98816,             0.84954,            0.014539,           0.0064502,          0.00026676,            0.000628,            0.000628,            0.000628
                 144,            0.011439,           0.0066208,          0.00026632,             0.99076,              0.9864,             0.98885,             0.84848,            0.014596,           0.0065414,          0.00026531,            0.000562,            0.000562,            0.000562
                 145,            0.011756,           0.0067026,          0.00029116,             0.99054,             0.98645,              0.9896,               0.855,            0.014423,           0.0065097,          0.00026227,            0.000496,            0.000496,            0.000496
                 146,            0.011477,           0.0066868,          0.00029799,             0.99062,             0.98621,             0.98981,              0.8542,             0.01446,           0.0064494,          0.00025593,             0.00043,             0.00043,             0.00043
                 147,            0.011527,           0.0064845,          0.00030512,             0.99059,             0.98636,             0.98948,              0.8502,            0.014509,           0.0064856,          0.00026166,            0.000364,            0.000364,            0.000364
                 148,              0.0114,           0.0064919,           0.0003436,              0.9889,              0.9865,             0.98935,             0.85345,            0.014452,           0.0064337,          0.00025655,            0.000298,            0.000298,            0.000298
                 149,            0.011441,           0.0066461,          0.00030607,             0.98929,             0.98652,             0.98934,             0.85324,            0.014426,           0.0064332,          0.00025669,            0.000232,            0.000232,            0.000232
